                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64382,                 1.1259,                 1.1054,                0.96324,                0.93738,                0.96859,                0.82862,                0.55863,                0.36942,                 1.0841,              0.0033328,              0.0033328,              0.0033328
                      2,                0.60987,                 1.0228,                 1.0848,                 0.9598,                0.92732,                0.96522,                0.82102,                0.55939,                0.38437,                 1.0796,              0.0063329,              0.0063329,              0.0063329
                      3,                0.63156,                 1.0656,                 1.0933,                0.94526,                0.92265,                0.95943,                0.80918,                0.57345,                0.43307,                 1.1077,              0.0089996,              0.0089996,              0.0089996
                      4,                0.64885,                 1.1187,                 1.1089,                0.95683,                0.92639,                0.96185,                0.81123,                 0.5938,                0.42108,                 1.1238,                 0.0085,                 0.0085,                 0.0085
                      5,                0.63571,                 1.0742,                 1.0997,                0.95504,                 0.9246,                0.96084,                0.81422,                0.57807,                0.41889,                 1.1155,                  0.008,                  0.008,                  0.008
                      6,                0.63002,                 1.0576,                 1.0975,                0.96056,                0.92772,                0.96528,                0.82077,                0.56511,                0.39847,                 1.1009,                 0.0075,                 0.0075,                 0.0075
                      7,                0.61882,                 1.0345,                 1.0909,                0.96369,                0.92908,                0.96672,                0.82276,                 0.5589,                0.38463,                 1.0905,                  0.007,                  0.007,                  0.007
                      8,                0.61389,                  1.014,                 1.0895,                0.96071,                0.93399,                0.96851,                0.82773,                 0.5568,                0.37833,                 1.0807,                 0.0065,                 0.0065,                 0.0065
                      9,                0.60443,                0.99202,                 1.0824,                0.96321,                0.93567,                0.96997,                0.83165,                0.55159,                0.37086,                 1.0795,                  0.006,                  0.006,                  0.006
                     10,                0.59464,                0.96144,                 1.0776,                0.96074,                0.93907,                0.97033,                0.83361,                0.54798,                0.36634,                 1.0746,                 0.0055,                 0.0055,                 0.0055
                     11,                0.50238,                0.46081,                 1.0679,                 0.9655,                0.94389,                0.97197,                0.84306,                0.53088,                0.33192,                 1.0559,                  0.005,                  0.005,                  0.005
                     12,                0.48849,                0.43209,                 1.0572,                0.96735,                0.94353,                0.97292,                 0.8473,                0.51859,                0.32232,                 1.0421,                 0.0045,                 0.0045,                 0.0045
                     13,                 0.4752,                0.41059,                 1.0489,                0.96873,                0.94248,                 0.9733,                0.85154,                0.50972,                0.31526,                 1.0322,                  0.004,                  0.004,                  0.004
                     14,                0.46572,                0.39406,                 1.0417,                 0.9678,                0.94539,                0.97332,                0.85297,                0.50526,                 0.3121,                 1.0269,                 0.0035,                 0.0035,                 0.0035
                     15,                0.45492,                0.37484,                 1.0361,                0.96931,                0.94524,                0.97429,                0.85493,                0.50207,                0.30894,                 1.0221,                  0.003,                  0.003,                  0.003
                     16,                0.44273,                0.36037,                 1.0285,                0.96953,                0.94553,                0.97452,                0.85632,                0.49922,                0.30593,                 1.0184,                 0.0025,                 0.0025,                 0.0025
                     17,                0.43201,                0.34092,                 1.0207,                0.96719,                0.94732,                0.97455,                0.85738,                0.49719,                0.30333,                 1.0165,                  0.002,                  0.002,                  0.002
                     18,                0.42134,                0.32809,                 1.0147,                0.96713,                0.94783,                0.97471,                 0.8582,                0.49386,                0.30134,                  1.013,                 0.0015,                 0.0015,                 0.0015
                     19,                0.40979,                0.31282,                 1.0089,                0.96712,                0.94886,                 0.9749,                0.85936,                0.49184,                0.29966,                 1.0106,                  0.001,                  0.001,                  0.001
                     20,                    inf,                0.29554,                 1.0003,                0.96792,                0.94792,                0.97494,                0.86036,                0.49017,                0.29772,                 1.0085,             0.00050005,             0.00050005,             0.00050005
