                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80165,                 3.2354,                 1.1701,                0.82178,                0.52219,                0.58815,                0.44657,                0.74481,                 2.1826,                 1.3051,              0.0033325,              0.0033325,              0.0033325
                      2,                 0.7442,                 2.0655,                 1.1201,                0.87943,                0.58631,                0.72886,                 0.5716,                0.72581,                 1.7281,                 1.2204,              0.0065332,              0.0065332,              0.0065332
                      3,                0.76201,                 1.7885,                 1.1223,                0.84661,                0.69905,                0.81741,                0.64393,                0.69156,                 1.2837,                 1.2223,              0.0096012,              0.0096012,              0.0096012
                      4,                0.75763,                  1.521,                 1.1186,                0.88724,                  0.783,                0.87739,                0.69694,                0.67348,                 0.9982,                 1.1621,               0.009403,               0.009403,               0.009403
                      5,                0.72953,                 1.3097,                 1.1004,                0.92772,                0.83933,                0.91231,                0.74274,                0.62792,                0.75911,                 1.1075,               0.009204,               0.009204,               0.009204
                      6,                0.71002,                 1.2084,                 1.0915,                0.93371,                0.86479,                 0.9249,                0.74945,                0.63117,                0.66962,                 1.1124,               0.009005,               0.009005,               0.009005
                      7,                0.68985,                 1.1361,                 1.0815,                0.94206,                0.85919,                0.93104,                0.76041,                0.62398,                0.61759,                 1.0916,               0.008806,               0.008806,               0.008806
                      8,                 0.6818,                 1.0837,                 1.0749,                0.94629,                0.87793,                0.94028,                0.78065,                0.60109,                0.56565,                 1.0527,               0.008607,               0.008607,               0.008607
                      9,                 0.6684,                 1.0454,                 1.0687,                 0.9442,                0.88851,                0.94561,                0.78741,                0.60015,                0.55737,                  1.063,               0.008408,               0.008408,               0.008408
                     10,                0.66709,                 1.0219,                  1.069,                0.94188,                0.89922,                0.95018,                0.79404,                0.59334,                0.52265,                 1.0551,               0.008209,               0.008209,               0.008209
                     11,                0.65383,                0.99421,                  1.061,                0.94829,                 0.9067,                0.95472,                0.80111,                0.57338,                0.49222,                 1.0277,                0.00801,                0.00801,                0.00801
                     12,                0.65271,                0.97102,                   1.06,                 0.9545,                0.90225,                0.95474,                 0.8052,                0.57316,                0.47744,                 1.0288,               0.007811,               0.007811,               0.007811
                     13,                0.64281,                0.95078,                 1.0551,                0.95157,                0.90281,                0.95629,                0.80747,                0.57213,                0.47401,                  1.029,               0.007612,               0.007612,               0.007612
                     14,                0.64349,                0.93534,                 1.0547,                0.95409,                0.91127,                0.95804,                0.81031,                0.57505,                 0.4513,                 1.0273,               0.007413,               0.007413,               0.007413
                     15,                0.63541,                0.91737,                 1.0514,                0.94987,                0.91378,                0.95811,                0.81427,                0.57065,                0.44952,                 1.0257,               0.007214,               0.007214,               0.007214
                     16,                0.62382,                0.88099,                 1.0448,                0.95166,                0.91771,                0.96067,                0.81822,                0.56095,                 0.4365,                 1.0149,               0.007015,               0.007015,               0.007015
                     17,                0.61679,                 0.8688,                  1.041,                0.95523,                0.91579,                0.96158,                0.82147,                0.56114,                0.43412,                 1.0133,               0.006816,               0.006816,               0.006816
                     18,                0.61775,                0.86064,                 1.0414,                 0.9559,                0.91887,                0.96307,                0.82226,                 0.5564,                0.42003,                 1.0055,               0.006617,               0.006617,               0.006617
